name,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9257228586132896,0.9399973267451547,0.9349196620188278,0.9370906441571204
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9244005714032936,0.9386346261112134,0.9334925645598041,0.9356952883440958
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9233721317895949,0.9371425364926715,0.9324828041029717,0.9345018014561705
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.922563956493077,0.9368175893257058,0.9322682590091793,0.9343153007039817
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9239599348755612,0.9376886368938846,0.9330036691112975,0.9350346003672108
Experimento13,True,5,il,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9216085606916395,0.9363688753667953,0.9311020120465114,0.9334953353963927
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8644588446130458,0.876614291290166,0.8624074556333952,0.8608297196996453
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8712940515147689,0.8803162755607129,0.885116092140007,0.8788795029405353
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8791526809884328,0.8829758986879248,0.8800406471459208,0.8770651794987783
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8873739940291809,0.9032672993611788,0.8937025083549394,0.895553702430427
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8828173332858601,0.9034555731035667,0.8920468312407657,0.8947814704794814
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8806182505953016,0.896712026802092,0.8883686966708234,0.8864567909173008
Experimento14,True,5,il,mad,minmax,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8766469653370965,0.8899830659752563,0.8846424621914604,0.8822636726861542
