Experiment,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9307174046033786,0.9421330106909958,0.939843323905803,0.9407907924163371
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9315998105392402,0.9436235740821228,0.9407545250405065,0.9420201656677113
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9282202125283623,0.9405814012462503,0.9384440045252116,0.9392963336601946
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9300563419184089,0.9421132146664506,0.9385787850161771,0.9401589529281669
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9301297633574691,0.9423308929743317,0.9398741624496141,0.9408857092694494
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9313798699021731,0.9432180433888069,0.9404102991280014,0.9416068607162169
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9299838375730033,0.9423109638515385,0.9401713960670708,0.9410621079766186
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9308647869483547,0.943026345576371,0.9404330213280268,0.9415101711822211
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9302037242633852,0.9414199984507177,0.9390114582562619,0.9400392290944165
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9296891268297367,0.9420597084590598,0.9392913385090285,0.9405004253839634
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9304239346338802,0.9419886731095074,0.9395569581183099,0.9405699813829818
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9309379926006726,0.9430854322442395,0.9404565388310976,0.941641408613827
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9329951415614974,0.9449631080594975,0.9430054534751108,0.943829535515652
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9323341328232134,0.9437348764556688,0.9412604849191826,0.942318036647146
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9293954410734958,0.9413436670033958,0.9390408547042833,0.9400261110282612
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9307912576159234,0.9431044209776225,0.9400584583808616,0.9413448573111687
Ap-10-15-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,15,1500,adaptive,0.003,1e-05,0.9300555327181254,0.9409990376093853,0.9397980657255214,0.9402302724965514
