Test ID, First Layer Neurons, Second Layer Neurons, Learning Rate, Activation Function, Accuracy, Precision, Recall, F1-Score
894,10,7,0.001,tanh,88.4377579325904,90.90003873976966,89.98229769005498,89.31167451381128
895,10,7,0.001,tanh,88.45239906305396,91.29617253980224,90.19621500045936,89.57681297674817
896,10,7,0.001,tanh,88.25398315352902,91.28937144955898,90.03107694300296,89.4416915393281
897,10,7,0.001,tanh,88.38624424253997,91.32132969520714,90.11624694567797,89.52923419673617
898,10,7,0.001,tanh,88.07046192388987,90.8244052886519,89.62124268832017,89.03698223383779
899,10,7,0.001,tanh,87.93078856028164,90.63993482590745,89.62363457415451,88.88415389024482
900,10,8,0.3,logistic,84.43316059604614,88.86993451270465,86.79769422890074,85.82331942233085
901,10,8,0.3,logistic,84.33079136550928,87.99712304265506,86.05061755708739,85.3762663205253
902,10,8,0.3,logistic,86.01375532588654,89.14173792660827,87.62142971399723,86.99689917061477
903,10,8,0.3,logistic,84.68332216636941,88.16487820370783,85.80427606913949,85.11337104743097
904,10,8,0.3,logistic,83.51525234641109,86.28686685547724,84.92660352418527,83.78237391665279
905,10,8,0.3,logistic,83.61861419596241,87.76715032725777,85.98439055897803,85.05745472808123
906,10,8,0.3,logistic,84.00030857504144,88.28904246505944,86.23197653019702,85.31464987468615
907,10,8,0.3,logistic,87.03440503818885,89.20170522342339,88.49625279020614,87.66513995191181
908,10,8,0.3,logistic,85.895552743135,88.76640690486545,87.77292995521671,87.04745998374204
909,10,8,0.3,logistic,83.61031719572182,88.51781242194087,86.04695498797372,84.89302819388656
910,10,8,0.3,logistic,86.50544699684195,89.45967127536225,88.09680559918644,87.69475703756146
911,10,8,0.3,logistic,87.07836619225951,89.26230911605643,88.90144946710714,87.86088650288566
912,10,8,0.3,logistic,85.35979741940635,88.4842396668635,86.97854946968567,86.21834360544686
913,10,8,0.3,logistic,84.7419676082521,88.24271489175175,86.72701915988459,85.71935572428974
914,10,8,0.3,logistic,83.79454512694193,87.81060447768105,85.87910895796618,84.93007471223753
915,10,8,0.3,logistic,84.32330896022077,88.22149096192587,86.47554582623641,85.38019314159989
916,10,8,0.3,logistic,83.96298286329585,88.53811488388476,86.99743542673339,85.75042151479329
917,10,8,0.3,logistic,83.66941578976329,87.68302526815546,86.02421927305407,84.73951504282674
918,10,8,0.3,logistic,85.77065537670433,88.63675994890843,87.51312237484976,86.74087070588335
919,10,8,0.3,logistic,85.76312981406736,88.92292219353732,87.81548530451082,87.19689583514094
920,10,8,0.3,logistic,85.16056152026076,88.428654590246,87.44409022928001,86.50078666425802
921,10,8,0.3,logistic,86.70388987970968,89.66756563522495,87.839854774973,87.08487647680914
922,10,8,0.3,logistic,85.62378013057256,89.03940151685855,87.63400459328903,86.98411929022484
923,10,8,0.3,logistic,83.97079434336634,87.69396303161588,85.95474769854758,84.96580049196935
924,10,8,0.3,logistic,85.05782005759347,88.48575449962894,87.2821090195124,86.44085999823432
925,10,8,0.3,relu,56.27873065606723,50.699480496242025,52.31585438580804,46.306813539942716
926,10,8,0.3,relu,62.77278411291689,50.36597903896636,56.32894501334642,50.24747035532149
927,10,8,0.3,relu,53.81034071647674,40.20778346822023,46.87373279168699,39.664382469264325
928,10,8,0.3,relu,54.76471153088824,41.145104919317724,48.432191594676745,40.881534392581365
929,10,8,0.3,relu,54.097002614256375,39.521736665622036,43.15543320967187,36.22740919672246
930,10,8,0.3,relu,63.045355136425776,50.286949927648784,57.3321320286372,51.221243847700734
931,10,8,0.3,relu,65.85931135976936,56.70925571251439,59.87230041216113,54.70298667841862
932,10,8,0.3,relu,56.74174966364242,45.61125144756641,50.33101974320149,42.64382540647797
933,10,8,0.3,relu,52.2894973355732,43.408101613646735,49.40371938067901,42.43950565993604
934,10,8,0.3,relu,65.9262645912298,56.515990542606886,59.0180474806578,53.15634236787711
935,10,8,0.3,relu,65.11607708334007,51.32584199024457,57.92590342371262,50.782594755543606
936,10,8,0.3,relu,53.979700941153865,48.08995961729955,48.55969568010985,41.48804708830489
937,10,8,0.3,relu,59.211342614321104,47.540702635657865,53.631487247628996,46.02883979312319
938,10,8,0.3,relu,63.215001278536455,48.38312514593453,55.09976957205143,48.43657663939872
939,10,8,0.3,relu,61.45765023342731,51.17003578103858,54.972347615513414,48.6773416158999
940,10,8,0.3,relu,59.371305326372045,49.37582071315298,54.0974219905192,47.162264932684515
941,10,8,0.3,relu,56.623708920947614,43.09348030657954,47.43822810499857,40.09853412493275
942,10,8,0.3,relu,62.075641884638266,48.469697490499115,56.220758674704506,49.093344568236
943,10,8,0.3,relu,56.71922152774855,40.64637398841139,47.7031802006343,40.278948370257574
944,10,8,0.3,relu,56.79992576936066,49.918200388323854,53.690238996255054,46.93556329207807
945,10,8,0.3,relu,56.80044905221069,45.84549850228342,47.93625710841923,41.25270003851582
